RecID,Name,Date,RaceNumber,Surface,Dist,Post,PPCt,NLA,Wgt,LastSpdRtg,BestSpdRtg,AverageSpdRtg,MedianSpdRtg,LastBrisSpdRtg,BestBrisSpdRtg,AverageBrisSpdRtg,MedianBrisSpdRtg,BestLifeSpd,BestYearSpd,BestTrkSpd,WagerPost,Spd2F,Spd4F,SpdLate,Purse,Starts,Wins,Places,Shows,Earnings,Class,JStarts,JWins,JPlaces,JShows,TStarts,TWins,TPlaces,TShows,LastFinishPos,LastBtnLns,LastDist,LastPurse,Finish2ndLastPos,Last2ndBtnLns,Last2ndDist,Last2ndPurse,FldSz,ML,FinishPos,BtnLns,AvgLast3,Exacta,TriFecta,NLANorm,WgtNorm,LastSpdRtgNorm,BestSpdRtgNorm,AverageSpdRtgNorm,MedianSpdRtgNorm,LastBrisSpdRtgNorm,BestBrisSpdRtgNorm,AverageBrisSpdRtgNorm,MedianBrisSpdRtgNorm,BestLifeSpdNorm,BestYearSpdNorm,BestTrkSpdNorm,WagerPostNorm,Spd2FNorm,Spd4FNorm,SpdLateNorm,MLNorm,FinishPosNorm,LowestSpdRtg,LastFldSz,SecondFldSz,ThirdFldSz,ThirdFinPos,FourthFldSz,FourthFinPos,ThirdPurse,FourthPurse,LastRaceDate,Last2ndRaceDate,Checked,Normalized,WinnersTime,ActualTime,MLRank,Trainer,Jockey,JockeyNorm,TrainerNorm,ActualFinish,ActualBtnLns,ActualOdds,ActualPurse
218683,My Lady's Aunt Ma,5/19/2023,2,T,3300,8,5,87,120,53,81,81,69,37,50,52.6,57,67,37,67,8,29,87,51,31600,5,2,0,4,16922,3118,977,186,163,172,343,66,57,63,6,23.75,3960,18000,1,0,3300,18100,0,3.5,0,0,0,0,0,0.166666667,1,0,0.555555556,0.452029349,0.79245283,0,0.263157895,0.017230377,0.618181818,0,0,0.25,0,0.051612903,0.909090909,0,0.105263158,0,0,6,8,5,3,4,3,21500,21500,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218684,Lois's Cause,5/19/2023,2,T,3300,9,10,82,120,66,74,76.33,73,49,59,58.6,63,67,65,74,9,23,79,68,31600,15,1,5,4,9886,2039,153,7,14,33,106,8,11,16,5,11.25,3960,15500,7,10,3960,10800,0,12,0,0,0,0,0,0,1,0.361111111,0.166666667,0.408656079,0.867924528,0.307692308,0.5,0.400127632,0.727272727,0,0.636363636,0.6875,0,0.032258065,0.545454545,0.586206897,1,0,61,6,10,7,4,8,7,14400,14400,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218685,Lucky Day Diva,5/19/2023,3,T,3300,1,10,89,120,85,95,86.33,79,66,69,62.1,61,75,75,75,1,207,80,65,28000,20,4,5,0,17768,2597,977,186,163,172,104,13,18,20,6,5.25,3630,14000,8,18,3300,19000,0,6,0,0,0,0,0,0.222222222,1,0.814814815,1,0.336064541,0.795918367,0.581395349,0.666666667,0.46834665,0.590163934,0.344827586,0.681818182,0.2,0,1,0.142857143,0.433333333,0.222222222,0,60,9,8,6,6,7,4,15400,15400,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218686,Will Take Roses,5/19/2023,3,T,3300,2,10,118,120,86,86,83.11,74,84,73,73.9,76,84,84,86,2,13,79,76,28000,42,9,10,12,39064,2926,508,63,89,85,141,20,25,23,2,3,5490,28000,2,1,5280,28000,0,8,0,0,0,0,0,0.866666667,1,0.833333333,0.625,0.2954746,0.693877551,1,0.777777778,0.830977259,0.836065574,0.655172414,0.886363636,0.64,0,0.010204082,0.071428571,0.8,0.333333333,0,66,6,7,7,6,8,1,24200,13600,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218687,Shoshanah,5/19/2023,3,T,3300,3,7,124,120,95,95,101,80,81,72,73.57,72,81,81,95,3,195,90,74,28000,7,4,2,0,55960,7353,753,175,138,140,7,2,1,0,6,3.25,3630,111400,1,0,3960,37500,0,3.5,0,0,0,0,0,1,1,1,1,0.520988277,0.816326531,0.930232558,0.75,0.820835894,0.770491803,0.551724138,0.818181818,1,0,0.93877551,0.857142857,0.733333333,0.083333333,0,0,12,9,7,6,8,6,31600,100000,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218688,Chloe Rose,5/19/2023,3,T,3300,4,10,105,115,49,76,76.56,71,63,81,72.6,65,86,82,76,4,56,92,70,28000,27,5,7,8,76860,7954,166,27,21,18,70,15,3,10,9,14.75,5280,39000,6,17,3960,55000,0,8,0,0,0,0,0,0.577777778,0.5,0.148148148,0.208333333,0.212908105,0.632653061,0.511627907,1,0.791026429,0.655737705,0.724137931,0.840909091,0.24,0,0.229591837,1,0.6,0.333333333,0,49,10,6,6,3,6,5,44000,55000,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218689,Imnotonetocomplain,5/19/2023,3,T,3300,5,10,99,120,69,89,83.56,89,61,54,64.1,70,73,73,70,5,178,78,69,28000,11,4,2,0,40039,3434,1024,219,185,145,189,43,33,30,5,8.5,3960,19000,1,0,3630,29010,0,5,0,0,0,0,0,0.444444444,1,0.518518519,0.75,0.301147107,1,0.465116279,0.25,0.529809465,0.737704918,0.275862069,0.636363636,0,0,0.852040816,0,0.566666667,0.166666667,0,59,6,10,12,8,6,5,32040,28000,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218690,Bea Bea Kaz,5/19/2023,3,T,3300,6,2,99,117,71,71,139,68,62,65,63.5,65,65,62,71,6,119,86,68,28000,2,2,0,0,16820,8550,484,55,68,61,95,16,20,15,5,12.5,3960,28000,1,0,3630,27100,0,10,0,0,0,0,0,0.444444444,0.7,0.555555556,0,1,0.571428571,0.488372093,0.555555556,0.511370621,0.655737705,0,0.386363636,0.04,0,0.551020408,0.571428571,0.533333333,0.444444444,0,0,8,6,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218691,The Biggest One,5/19/2023,3,T,3300,7,10,97,110,57,78,74.67,78,60,58,65.8,74,84,84,78,7,11,86,68,28000,28,6,5,5,37640,3385,17,2,2,1,41,4,7,5,8,11,3960,21000,8,15,3960,21000,0,15,0,0,0,0,0,0.4,0,0.296296296,0.291666667,0.189083575,0.775510204,0.441860465,0.361111111,0.582052858,0.803278689,0.655172414,0.886363636,0.32,0,0,0.571428571,0.533333333,0.722222222,0,57,8,10,7,6,10,3,28000,28000,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218692,Prospective Candy,5/19/2023,3,T,3300,8,10,79,120,45,89,67.33,40,41,67,53.33,25,75,45,89,8,65,78,53,28000,11,2,1,0,23496,2417,523,66,70,71,158,21,26,19,6,21.5,3960,24000,8,21,3960,24000,0,20,0,0,0,0,0,0,1,0.074074074,0.75,0.096558679,0,0,0.611111111,0.198832207,0,0.344827586,0,0.76,0,0.275510204,0,0.033333333,1,0,25,6,8,8,8,8,8,24000,28000,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218693,True Queen,5/19/2023,3,T,3300,9,7,95,117,41,76,59.67,61,49,45,46.86,52,68,68,76,9,63,82,52,28000,7,2,0,0,17120,2266,349,30,43,41,4,1,0,0,5,28.25,5280,28000,1,0,4620,21200,0,10,0,0,0,0,0,0.355555556,0.7,0,0.208333333,0,0.428571429,0.186046512,0,0,0.442622951,0.103448276,0.522727273,0.24,0,0.265306122,0.285714286,0,0.444444444,0,0,6,7,6,5,9,7,20000,23000,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218694,Translate,5/19/2023,3,T,3300,10,10,119,120,75,93,94.11,89,80,69,79.4,86,94,89,93,10,180,90,82,28000,16,5,8,5,80401,9968,419,46,38,55,451,40,61,77,4,1,3630,56610,2,0,3630,27290,0,2,0,0,0,0,0,0.888888889,1,0.62962963,0.916666667,0.434135888,1,0.906976744,0.666666667,1,1,1,1,0.92,0,0.862244898,0.857142857,1,0,0,75,12,9,6,1,7,2,36000,40000,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218695,Anna Rocks,5/19/2023,4,D,5490,1,10,117,120,59,88,79.56,85,70,83,74.1,80,84,77,84,1,18,78,77,18100,20,5,4,1,40798,3914,1024,219,185,145,577,86,91,78,4,13.5,5280,34000,4,3,5610,43600,0,2.5,0,0,0,0,0,1,0.555555556,0,0.5,0.409406322,1,0.444444444,0.916666667,1,0.923076923,0.307692308,0.111111111,0.851851852,0,0,0.583333333,0.545454545,0.05,0,43,7,6,8,6,5,4,28900,35000,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218696,Bamboo Garden,5/19/2023,4,D,5490,2,10,106,115,65,101,80.56,68,58,80,70.5,79,83,76,83,2,286,70,76,18100,53,5,3,10,74175,3144,166,27,21,18,415,41,50,63,8,19.75,5490,75000,4,5,5490,75000,0,4,0,0,0,0,0,0,0,0.315789474,1,0.486507325,0.15,0,0.791666667,0.368421053,0.846153846,0.269230769,0,0.814814815,0,1,0.25,0.454545455,0.2,0,52,8,8,9,6,6,6,75000,30000,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218697,Favorite Doll,5/19/2023,4,D,5490,3,10,107,120,59,79,76.67,75,60,69,69.1,70,79,79,79,3,21,74,71,18100,34,3,6,10,16432,2093,526,70,79,93,165,17,19,30,6,18,5280,20000,3,3,5280,28000,0,10,0,0,0,0,0,0.090909091,0.555555556,0,0.153846154,0.186584426,0.5,0.074074074,0.333333333,0.122807018,0.153846154,0.115384615,0.333333333,0.666666667,0,0.01119403,0.416666667,0,0.8,0,55,6,7,7,7,6,5,20000,20000,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218698,Salagadoola,5/19/2023,4,D,5490,4,9,117,124,75,75,74.25,65,85,61,68.89,68,85,85,61,4,19,65,82,18100,13,6,0,2,46954,3761,977,186,163,172,22,3,0,1,1,0,5610,28300,5,4,5280,26880,0,2,0,0,0,0,0,1,1,0.842105263,0,0,0,1,0,0.085964912,0,0.346153846,1,0,0,0.003731343,0.041666667,1,0,0,50,7,12,7,4,9,1,30820,24245,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218699,Timely Tradition,5/19/2023,4,D,5490,5,10,117,120,78,84,87.22,82,71,85,73.8,81,102,81,88,5,56,88,77,18100,55,15,9,13,36576,9676,508,63,89,85,493,78,63,65,5,3.5,3630,34880,4,5,3960,28900,0,3,0,0,0,0,0,1,0.555555556,1,0.346153846,1,0.85,0.481481481,1,0.947368421,1,1,0.555555556,1,0,0.141791045,1,0.545454545,0.1,0,63,6,5,7,3,8,4,28900,28900,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218700,Dance A Little Jig,5/19/2023,4,D,5490,6,10,108,120,64,76,77.11,76,68,68,68.4,70,76,76,76,6,21,64,80,18100,27,4,8,9,23996,2483,523,66,70,71,165,17,19,30,5,9,5490,31600,5,6,5280,28000,0,12,0,0,0,0,0,0.181818182,0.555555556,0.263157895,0.038461538,0.220508867,0.55,0.37037037,0.291666667,0,0.153846154,0,0,0.555555556,0,0.01119403,0,0.818181818,1,0,64,8,7,7,2,6,2,31600,16400,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218701,Giuseppe,5/19/2023,5,D,3960,1,2,104,121,68,71,139,71,62,65,63.5,65,65,65,65,1,49,84,69,18100,2,0,0,0,1628,543,659,100,90,94,161,13,13,20,6,13.75,3960,27100,4,8,3960,18100,0,5,0,0,0,0,0,0.936936937,0.7,0.829268293,0.845238095,1,0.97260274,0.849315068,0.890410959,0.884401114,0.878378378,0.792682927,0.792682927,0.773809524,0,0.206751055,1,0.8625,0.166666667,0,0,8,8,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218702,Golden Treasure,5/19/2023,5,D,3960,2,5,110,121,63,74,81,51,62,65,62.4,66,66,66,65,2,51,82,69,18100,5,0,0,2,7478,1500,1024,219,185,145,434,89,73,78,7,12.5,3960,30000,5,11,3960,50000,0,6,0,0,0,0,0,0.990990991,0.7,0.768292683,0.880952381,0.582733813,0.698630137,0.849315068,0.890410959,0.86908078,0.891891892,0.804878049,0.804878049,0.773809524,0,0.215189873,0.976190476,0.8625,0.25,0,0,11,6,10,6,10,4,50000,27100,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218703,Ripken,5/19/2023,5,D,3960,3,10,109,124,82,84,80.44,73,73,73,71.8,74,82,82,84,3,237,73,80,18100,13,0,4,6,47063,3493,538,44,59,63,577,86,91,78,5,1.5,5940,47680,3,0,5610,50840,0,3,0,0,0,0,0,0.981981982,1,1,1,0.578705036,1,1,1,1,1,1,1,1,0,1,0.869047619,1,0,0,40,7,9,8,3,10,4,50540,47180,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218704,Luckily Leyton,5/19/2023,5,D,3960,4,2,102,121,55,55,79,24,48,28,38,28,48,48,55,4,59,84,33,18100,2,0,0,0,2000,250,753,175,138,140,56,6,9,7,6,17.25,3630,50000,10,34,4620,50000,0,12,0,0,0,0,0,0.918918919,0.7,0.670731707,0.654761905,0.568345324,0.328767123,0.657534247,0.383561644,0.529247911,0.378378378,0.585365854,0.585365854,0.654761905,0,0.248945148,1,0.4125,0.75,0,0,6,10,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218705,Bob's Our Uncle,5/19/2023,5,D,3960,5,0,0,122,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18100,0,0,0,0,0,0,526,70,79,93,39,1,6,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218706,Necco,5/19/2023,5,D,3960,6,10,103,124,72,78,75.78,66,66,63,65.3,63,71,67,71,6,28,82,69,18100,12,0,4,6,17009,1388,153,7,14,33,16,1,2,5,2,7,3960,17000,3,7,3960,18100,0,6,0,0,0,0,0,0.927927928,1,0.87804878,0.928571429,0.545179856,0.904109589,0.904109589,0.863013699,0.909470752,0.851351351,0.865853659,0.817073171,0.845238095,0,0.11814346,0.976190476,0.8625,0.25,0,41,8,7,7,5,6,5,18100,18100,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218707,Iola's Black,5/19/2023,5,D,3960,7,1,79,114,70,70,70,70,32,32,32,32,32,32,70,7,15,0,73,18100,1,0,0,0,588,135,17,2,2,1,577,86,91,78,8,22.5,2970,29400,0,0,0,0,0,15,0,0,0,0,0,0.711711712,0,0.853658537,0.833333333,0.503597122,0.95890411,0.438356164,0.438356164,0.445682451,0.432432432,0.390243902,0.390243902,0.833333333,0,0.063291139,0,0.9125,1,0,0,8,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218708,Afleet Airo,5/19/2023,5,D,3960,8,3,85,121,30,72,77,72,13,47,33,47,47,47,72,8,48,73,66,18100,3,0,0,0,1962,589,614,119,129,92,139,8,15,18,6,37,4620,32700,7,23,4290,32700,0,12,0,0,0,0,0,0.765765766,0.7,0.365853659,0.857142857,0.553956835,0.98630137,0.178082192,0.643835616,0.459610028,0.635135135,0.573170732,0.573170732,0.857142857,0,0.202531646,0.869047619,0.825,0.75,0,0,6,8,7,5,0,0,32700,0,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218709,If We Get Lucky,5/19/2023,5,D,3960,9,1,111,121,57,57,57,57,59,59,59,59,59,59,57,9,16,74,72,18100,1,0,0,0,1000,250,508,63,89,85,493,78,63,65,6,12.25,3960,50000,0,0,0,0,0,4,0,0,0,0,0,1,0.7,0.695121951,0.678571429,0.410071942,0.780821918,0.808219178,0.808219178,0.821727019,0.797297297,0.719512195,0.719512195,0.678571429,0,0.067510549,0.880952381,0.9,0.083333333,0,0,9,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218710,Runawaytothemoon,5/19/2023,5,D,3960,10,0,0,121,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,18100,0,0,0,0,0,0,977,186,163,172,343,66,57,63,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218711,Communication Fail,5/19/2023,6,D,3630,1,9,98,112,74,79,81,66,68,45,61.78,59,84,70,73,1,72,76,75,10800,30,1,5,6,8922,1405,17,2,2,1,215,15,24,26,2,0.5,3960,10800,4,3,3960,10800,0,2.5,0,0,0,0,0,0.866666667,0,0.666666667,0.466666667,0.923722349,0.310344828,0.837837838,0,1,0.380952381,1,0.851851852,0.923076923,0,0.814285714,0.277777778,1,0.083333333,0,59,7,9,8,3,10,2,10800,10800,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218712,Bailey Coffee,5/19/2023,6,D,3630,2,8,95,122,62,75,71.29,70,56,57,54.5,63,69,58,69,2,30,78,62,10800,8,2,0,6,21386,2636,523,66,70,71,215,15,24,26,8,8,3960,10800,5,11,3630,10800,0,6,0,0,0,0,0,0.666666667,1,0,0.2,0.183066362,0.448275862,0.513513514,0.666666667,0.206971678,0.571428571,0.285714286,0.407407407,0.615384615,0,0.214285714,0.388888889,0.380952381,0.666666667,0,0,8,9,7,7,7,1,18000,21500,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218713,Lionesque,5/19/2023,6,D,3630,3,10,100,122,80,86,82,86,74,63,58.4,72,74,74,74,3,15,77,67,10800,15,2,3,9,30520,1850,526,70,79,93,16,2,2,3,3,6.5,3960,10800,8,17,3630,10800,0,2,0,0,0,0,0,1,1,1,0.933333333,1,1,1,1,0.631808279,1,0.523809524,1,1,0,0,0.333333333,0.619047619,0,0,52,9,9,8,7,7,1,10800,13600,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218714,Abhar,5/19/2023,6,D,3630,4,10,93,122,62,85,75.22,60,47,63,55.4,51,80,56,61,4,72,89,54,10800,18,1,0,5,7175,1111,354,35,49,55,243,10,18,31,6,12.75,3960,10800,6,13,3630,10800,0,8,0,0,0,0,0,0.533333333,1,0,0.866666667,0.482837529,0.103448276,0.27027027,1,0.305010893,0,0.80952381,0.333333333,0,0,0.814285714,1,0,1,0,57,7,9,8,6,10,3,10800,10800,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
